teplota,rychlost_vitr,max_naraz_vitr,vlhkost,uhrn_srazky,tlak,mesic,y
10.3,0.0,2.5,99,2.0,1013.975424,11,1
13.2,1.0,5.7,94,0.0,1011.532486,11,0
12.7,1.2,8.4,75,0.0,1019.014375,11,0
9.4,2.2,8.0,64,0.0,1027.970063,11,0
3.8,0.4,6.2,82,0.0,1035.018833,11,0
3.1,0.1,2.2,81,0.0,1034.118604,11,0
1.3,0.6,3.0,100,0.0,1030.858842,11,0
0.7,1.0,2.8,100,0.3,1027.945104,11,1
1.5,1.4,2.6,100,0.5,1028.771576,11,1
4.4,0.6,2.7,93,0.0,1028.703271,11,0
4.4,0.3,3.1,93,0.5,1027.158146,11,1
5.5,0.1,4.4,91,0.0,1022.623042,11,0
6.9,0.3,2.8,92,0.8,1020.798736,11,1
9.4,0.5,2.9,94,0.0,1020.026292,11,0
5.7,1.0,5.4,99,2.7,1017.268917,11,1
8.1,1.2,6.4,87,0.0,1016.494646,11,0
9.3,2.0,8.6,87,0.0,1024.725479,11,0
7.0,0.4,5.5,83,0.0,1024.722453,11,0
6.3,1.4,10.6,91,0.3,1020.162618,11,1
3.6,2.6,10.1,76,0.0,1030.460931,11,0
-0.6,0.9,5.6,89,0.0,1032.999521,11,0
3.6,0.0,3.2,88,0.2,1026.428417,11,1
3.2,0.9,9.2,87,0.0,1026.477354,11,0
-1.1,1.0,2.6,100,0.0,1027.300417,11,0
-0.2,0.7,4.0,96,0.0,1023.606569,11,0
-0.5,0.6,4.1,98,0.0,1023.731278,11,0
0.5,0.6,2.7,99,0.3,1022.54425,11,1
1.2,0.7,5.1,89,0.0,1023.042465,11,0
1.5,1.5,7.2,83,0.0,1024.269715,11,0
-2.0,0.4,5.3,89,2.0,1023.631104,11,1
-0.2,0.9,5.5,92,0.0,1018.3555,12,0
-2.9,1.4,6.2,83,0.3,1018.163007,12,1
-1.1,2.6,7.4,84,0.0,1007.49459,12,0
-0.1,0.6,6.7,92,0.0,997.5640278,12,0
2.0,0.2,4.7,93,0.0,1000.664281,12,0
8.3,1.2,8.7,85,0.0,1000.409784,12,0
6.0,1.8,10.2,79,0.0,1001.413057,12,0
5.0,2.4,6.9,84,2.5,1005.589917,12,1
4.3,1.2,6.5,93,1.1,1007.989507,12,1
3.3,0.5,3.8,95,0.2,1005.905458,12,1
2.3,1.5,5.9,95,0.0,1002.634718,12,0
2.9,0.2,2.7,94,0.0,1000.917639,12,0
3.7,0.0,2.4,95,0.0,1010.710535,12,0
4.6,1.4,4.9,91,0.0,1015.312764,12,0
3.4,1.1,5.5,89,0.1,1016.361729,12,1
3.7,0.5,3.4,96,0.0,1020.917993,12,0
3.1,0.5,3.9,92,0.0,1023.325375,12,0
2.3,0.5,3.8,98,0.4,1025.920722,12,1
1.5,1.0,4.2,99,0.0,1023.954181,12,0
0.8,0.9,3.6,97,0.1,1023.342264,12,1
2.1,0.0,4.7,98,3.0,1023.068097,12,1
7.4,1.7,6.2,100,5.2,1014.345479,12,1
9.4,0.4,5.4,100,2.3,1011.439201,12,1
5.9,3.8,14.4,81,0.8,1006.770799,12,1
2.0,1.2,9.9,74,0.0,1015.905194,12,0
0.3,2.5,9.4,74,0.0,1020.718306,12,0
-1.1,2.3,9.1,70,0.0,1003.48553,12,0
0.9,1.0,6.9,85,0.2,985.9848222,12,1
1.0,1.6,8.2,88,0.0,992.193741,12,0
-1.8,0.2,2.9,91,0.0,1004.125125,12,0
-1.2,0.1,2.9,93,0.0,1007.252299,12,0
-0.5,0.0,2.0,98,0.1,1008.377896,1,1
0.2,0.9,3.4,95,2.5,1012.843757,1,1
2.6,0.8,5.3,100,0.9,1010.114889,1,1
